record-number,title,year,popularity,comedy,fantasy,romance,horror,action,non-fiction,type
447,Dredd,2012,7.1,0,1,0,0,1,0,M
448,Hunt for the Wilderpeople,2016,7.9,1,1,0,0,1,0,M
449,Big Hero 6,2014,7.8,1,0,0,0,1,0,M
450,Carrie,2013,5.9,0,1,0,1,0,0,M
451,Iron Man 2,2010,7,0,1,0,0,1,0,M
452,Demolition,2015,7,1,1,0,0,0,0,M
453,Pandorum,2009,6.8,0,0,0,1,1,0,M
454,Olympus Has Fallen,2013,6.5,0,0,0,0,1,0,M
455,I Am Number Four,2011,6.1,0,1,0,0,1,0,M
456,Jagten,2012,8.3,0,1,0,0,0,0,M
457,The Proposal,2009,6.7,1,1,1,0,0,0,M
458,Get Hard,2015,6,1,0,0,1,0,0,M
459,Just Go with It,2011,6.4,1,0,1,0,0,0,M
460,Revolutionary Road,2008,7.3,0,1,1,0,0,0,M
461,The Town,2010,7.6,0,1,0,1,1,0,M
462,The Boy,2016,6,0,0,0,1,1,0,M
463,Denial,2016,6.6,0,1,0,0,0,1,M
464,Predestination,2014,7.5,0,1,0,1,0,0,M
465,Goosebumps,2015,6.3,1,0,0,0,1,0,M
466,Sherlock Holmes: A Game of Shadows,2011,7.5,0,0,0,1,1,0,M
467,Salt,2010,6.4,0,0,0,1,1,0,M
468,Enemy,2013,6.9,0,0,0,1,1,0,M
469,District 9,2009,8,0,1,0,0,1,0,M
470,The Other Guys,2010,6.7,1,0,0,1,1,0,M
471,American Gangster,2007,7.8,0,1,0,1,0,1,M
472,Marie Antoinette,2006,6.4,0,1,0,0,0,1,M
473,2012,2009,5.8,0,1,0,0,1,0,M
474,Harry Potter and the Half-Blood Prince,2009,7.5,0,1,0,0,1,0,M
475,Argo,2012,7.7,0,1,0,0,0,1,M
476,Eddie the Eagle,2016,7.4,1,1,0,0,0,1,M
477,The Lives of Others,2006,8.5,0,1,0,0,1,0,M
478,Pet,2016,5.7,0,0,0,1,1,0,M
479,Paint It Black,2016,8.3,0,1,0,0,0,0,M
480,Macbeth,2015,6.7,0,1,0,0,0,1,M
481,Forgetting Sarah Marshall,2008,7.2,1,1,1,0,0,0,M
482,The Giver,2014,6.5,0,1,1,0,0,0,M
483,Triple 9,2016,6.3,0,1,0,1,1,0,M
484,Perfetti sconosciuti,2016,7.7,1,1,0,0,0,0,M
485,Angry Birds,2016,6.3,1,0,0,0,1,0,M
486,Moonrise Kingdom,2012,7.8,1,1,0,0,1,0,M
487,Hairspray,2007,6.7,1,1,0,0,0,0,M
488,Safe Haven,2013,6.7,0,1,1,0,1,0,M
489,Focus,2015,6.6,1,1,0,1,0,0,M
490,Ratatouille,2007,8,1,0,0,0,0,0,M
491,Stake Land,2010,6.5,0,1,0,1,0,0,M
492,The Book of Eli,2010,6.9,0,1,0,0,1,0,M
493,Cloverfield,2008,7,0,1,0,1,1,0,M
494,Point Break,2015,5.3,0,0,0,1,1,1,M
495,Under the Skin,2013,6.3,0,1,0,1,0,0,M
496,I Am Legend,2007,7.2,0,1,0,1,0,0,M
497,Men in Black 3,2012,6.8,1,0,0,0,1,0,M
498,Super 8,2011,7.1,0,1,0,1,1,0,M
499,Law Abiding Citizen,2009,7.4,0,1,0,1,1,0,M
500,Up,2009,8.3,1,0,0,0,1,0,M
501,Maze Runner: The Scorch Trials,2015,6.3,0,1,0,0,1,0,M
502,Carol,2015,7.2,0,1,1,0,0,0,M
503,Imperium,2016,6.5,0,1,0,1,1,0,M
504,Youth,2015,7.3,1,1,0,0,0,1,M
505,Mr. Nobody,2009,7.9,0,1,1,0,0,0,M
506,City of Tiny Lights,2016,5.7,0,1,0,1,1,0,M
507,Savages,2012,6.5,0,1,0,1,1,0,M
508,(500) Days of Summer,2009,7.7,1,1,1,0,0,0,M
509,Movie 43,2013,4.3,1,0,1,0,0,0,M
510,Gravity,2013,7.8,0,1,0,0,1,0,M
511,The Boy in the Striped Pyjamas,2008,7.8,0,1,0,0,0,1,M
512,Shooter,2007,7.2,0,1,0,1,1,0,M
513,The Happening,2008,5,0,1,0,0,1,0,M
514,Bone Tomahawk,2015,7.1,0,1,0,1,1,0,M
515,Magic Mike XXL,2015,5.7,1,1,0,0,0,1,M
516,Easy A,2010,7.1,1,1,1,0,0,0,M
517,Exodus: Gods and Kings,2014,6,0,1,0,0,1,0,M
518,Chappie,2015,6.9,0,1,0,1,1,0,M
519,The Hobbit: The Desolation of Smaug,2013,7.9,0,1,0,0,1,0,M
520,Half of a Yellow Sun,2013,6.2,0,1,1,0,0,0,M
521,Anthropoid,2016,7.2,0,0,0,0,1,1,M
522,The Counselor,2013,5.3,0,1,0,1,1,0,M
523,Viking,2016,4.7,0,1,0,0,1,1,M
524,Whiskey Tango Foxtrot,2016,6.6,1,1,0,0,0,1,M
525,Trust,2010,7,0,1,0,1,1,0,M
526,Birth of the Dragon,2016,3.9,0,1,0,0,1,1,M
527,Elysium,2013,6.6,0,1,0,0,1,0,M
528,The Green Inferno,2013,5.4,0,0,0,1,1,0,M
529,Godzilla,2014,6.4,0,1,0,0,1,0,M
530,The Bourne Legacy,2012,6.7,0,0,0,1,1,0,M
531,A Good Year,2006,6.9,1,1,1,0,0,0,M
532,Friend Request,2016,5.4,0,0,0,1,1,0,M
533,Deja Vu,2006,7,0,1,0,0,1,0,M
534,Lucy,2014,6.4,0,1,0,0,1,0,M
535,A Quiet Passion,2016,7.2,0,1,0,0,0,1,M
536,Need for Speed,2014,6.5,0,1,0,1,1,0,M
537,Jack Reacher,2012,7,0,0,0,1,1,0,M
538,The Do-Over,2016,5.7,1,0,0,0,1,0,M
539,True Crimes,2016,7.3,0,1,0,1,1,0,M
540,American Pastoral,2016,6.1,0,1,0,1,0,0,M
541,The Ghost Writer,2010,7.2,0,0,0,1,1,0,M
542,Limitless,2011,7.4,0,1,0,1,1,0,M
543,Spectral,2016,6.3,0,1,0,1,1,0,M
544,P.S. I Love You,2007,7.1,0,1,1,0,0,0,M
545,Zipper,2015,5.7,0,1,0,0,1,0,M
546,Midnight Special,2016,6.7,0,1,0,1,0,0,M
547,Don't Think Twice,2016,6.8,1,1,0,0,0,0,M
548,Alice in Wonderland,2010,6.5,0,1,0,0,1,0,M
549,Chuck,2016,6.8,0,1,0,0,0,1,M
550,"I, Daniel Blake",2016,7.9,0,1,0,0,0,0,M
551,The Break-Up,2006,5.8,1,1,1,0,0,0,M
552,Loving,2016,7.1,0,1,1,0,0,1,M
553,Fantastic Four,2015,4.3,0,1,0,0,1,0,M
554,The Survivalist,2015,6.3,0,1,0,0,1,0,M
555,Colonia,2015,7.1,0,1,1,0,1,0,M
556,The Boy Next Door,2015,4.6,0,0,0,1,1,0,M
557,The Gift,2015,7.1,0,0,0,1,1,0,M
558,Dracula Untold,2014,6.3,0,1,0,0,1,0,M
559,In the Heart of the Sea,2015,6.9,0,0,0,0,1,1,M
560,Idiocracy,2006,6.6,1,1,0,0,1,0,M
561,The Expendables,2010,6.5,0,0,0,0,1,0,M
562,Evil Dead,2013,6.5,0,1,0,1,0,0,M
563,Sinister,2012,6.8,0,0,0,1,0,0,M
564,Wreck-It Ralph,2012,7.8,1,0,0,0,1,0,M
565,Snow White and the Huntsman,2012,6.1,0,1,0,0,1,0,M
566,Pan,2015,5.8,0,1,0,0,1,0,M
567,Transformers: Dark of the Moon,2011,6.3,0,1,0,0,1,0,M
568,Juno,2007,7.5,1,1,0,0,0,0,M
569,A Hologram for the King,2016,6.1,1,1,0,0,0,0,M
570,Money Monster,2016,6.5,0,1,0,1,1,0,M
571,The Other Woman,2014,6,1,0,1,0,0,0,M
572,Enchanted,2007,7.1,1,0,0,0,0,0,M
573,The Intern,2015,7.1,1,1,0,0,0,0,M
574,Little Miss Sunshine,2006,7.8,1,1,0,0,0,0,M
575,Bleed for This,2016,6.8,0,1,0,0,0,1,M
576,Clash of the Titans,2010,5.8,0,1,0,0,1,0,M
577,The Finest Hours,2016,6.8,0,1,0,0,1,1,M
578,Tron,2010,6.8,0,1,0,0,1,0,M
579,The Hunger Games: Catching Fire,2013,7.6,0,0,0,1,1,0,M
580,All Good Things,2010,6.3,0,1,0,1,0,0,M
581,Kickboxer: Vengeance,2016,4.9,0,0,0,0,1,0,M
582,The Last Airbender,2010,4.2,0,0,0,0,1,0,M
583,Sex Tape,2014,5.1,1,0,1,0,0,0,M
584,What to Expect When You're Expecting,2012,5.7,1,1,1,0,0,0,M
585,Moneyball,2011,7.6,0,1,0,0,0,1,M
586,Ghost Rider,2007,5.2,0,1,0,0,1,0,M
587,Unbroken,2014,7.2,0,1,0,0,0,1,M
588,Immortals,2011,6,0,1,0,0,1,0,M
589,Sunshine,2007,7.3,0,1,0,0,1,0,M
590,Brave,2012,7.2,1,0,0,0,1,0,M
591,MÃƒÂ¤n som hatar kvinnor,2009,7.8,0,1,0,1,1,0,M
592,Adoration,2013,6.2,0,1,1,0,0,0,M
593,The Drop,2014,7.1,0,1,0,1,0,0,M
594,She's the Man,2006,6.4,1,0,1,0,0,1,M
595,Daddy's Home,2015,6.1,1,0,0,0,0,0,M
596,Let Me In,2010,7.2,0,1,0,1,0,0,M
597,Never Back Down,2008,6.6,0,1,0,0,1,1,M
598,Grimsby,2016,6.2,1,0,0,0,1,0,M
599,Moon,2009,7.9,0,1,0,1,0,0,M
600,Megamind,2010,7.3,1,0,0,0,1,0,M
601,Gangster Squad,2013,6.7,0,1,0,1,1,0,M
602,Blood Father,2016,6.4,0,1,0,1,1,0,M
603,He's Just Not That Into You,2009,6.4,1,1,1,0,0,0,M
604,Kung Fu Panda 3,2016,7.2,1,0,0,0,1,0,M
605,The Rise of the Krays,2015,5.1,0,1,0,1,0,0,M
606,Handsome Devil,2016,7.4,0,1,0,0,0,0,M
607,Winter's Bone,2010,7.2,0,1,0,0,0,0,M
608,Horrible Bosses,2011,6.9,1,0,0,1,0,0,M
609,Mommy,2014,8.1,0,1,0,0,0,0,M
610,Hellboy II: The Golden Army,2008,7,0,1,0,0,1,0,M
611,Beautiful Creatures,2013,6.2,0,1,1,0,0,0,M
612,Toni Erdmann,2016,7.6,1,1,0,0,0,0,M
613,The Lovely Bones,2009,6.7,0,1,0,0,1,0,M
614,The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,0,1,0,1,0,1,M
615,Don Jon,2013,6.6,1,1,1,0,0,0,M
616,Bastille Day,2016,6.3,0,1,0,1,1,0,M
617,2307: Winter's Dream,2016,4,0,1,0,0,0,0,M
618,Free State of Jones,2016,6.9,0,1,0,0,1,1,M
619,Mr. Right,2015,6.3,1,0,1,0,1,0,M
620,The Secret Life of Walter Mitty,2013,7.3,1,1,0,0,1,0,M
621,Dope,2015,7.3,1,1,0,1,0,0,M
622,Underworld Awakening,2012,6.4,0,1,0,1,1,0,M
623,Antichrist,2009,6.6,0,1,0,1,0,0,M
624,Friday the 13th,2009,5.6,0,0,0,1,0,0,M
625,Taken 3,2014,6,0,0,0,0,1,0,M
626,Total Recall,2012,6.3,0,0,0,1,1,0,M
627,X-Men: The Last Stand,2006,6.7,0,1,0,0,1,0,M
628,The Escort,2016,6,1,1,1,0,0,0,M
629,The Whole Truth,2016,6.1,0,1,0,1,0,0,M
630,Night at the Museum: Secret of the Tomb,2014,6.2,1,0,0,0,1,0,M
631,Love & Other Drugs,2010,6.7,1,1,1,0,0,0,M
632,The Interview,2014,6.6,1,0,0,0,0,0,M
633,The Host,2006,7,1,1,0,1,0,0,M
634,Megan Is Missing,2011,4.9,0,1,0,1,1,0,M
635,WALLÃ‚Â·E,2008,8.4,1,0,0,0,1,0,M
636,Knocked Up,2007,7,1,0,1,0,0,0,M
637,Source Code,2011,7.5,0,1,1,1,0,0,M
638,Lawless,2012,7.3,0,1,0,1,0,0,M
639,Unfriended,2014,5.6,0,1,0,1,0,0,M
640,American Reunion,2012,6.7,1,0,0,0,0,0,M
641,The Pursuit of Happyness,2006,8,0,1,0,0,0,1,M
642,Relatos salvajes,2014,8.1,1,1,0,0,1,0,M
643,The Ridiculous 6,2015,4.8,1,0,0,0,1,0,M
644,Frantz,2016,7.5,0,1,0,0,0,1,M
645,Viral,2016,5.5,0,1,0,1,0,0,M
646,Gran Torino,2008,8.2,0,1,0,0,0,0,M
647,Burnt,2015,6.6,1,1,0,0,0,0,M
648,Tall Men,2016,3.2,0,1,0,1,1,0,M
649,Sleeping Beauty,2011,5.3,0,1,1,0,0,0,M
650,Vampire Academy,2014,5.6,1,1,0,0,1,0,M
651,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4,0,1,0,1,0,1,M
652,Solace,2015,6.4,0,1,0,1,0,0,M
653,Insidious,2010,6.8,0,0,0,1,1,0,M
654,Popstar: Never Stop Never Stopping,2016,6.7,1,0,0,0,0,1,M
655,The Levelling,2016,6.4,0,1,0,0,0,0,M
656,Public Enemies,2009,7,0,1,0,1,0,1,M
657,Boyhood,2014,7.9,0,1,0,0,0,0,M
658,Teenage Mutant Ninja Turtles,2014,5.9,1,0,0,0,1,0,M
659,Eastern Promises,2007,7.7,0,1,0,1,0,0,M
660,The Daughter,2015,6.7,0,1,0,0,0,0,M
661,Pineapple Express,2008,7,1,0,0,1,1,0,M
662,The First Time,2012,6.9,1,1,1,0,0,0,M
663,Gone Baby Gone,2007,7.7,0,1,0,1,0,0,M
664,The Heat,2013,6.6,1,0,0,1,1,0,M
665,L'avenir,2016,7.1,0,1,0,0,0,0,M
666,Anna Karenina,2012,6.6,0,1,1,0,0,0,M
667,Regression,2015,5.7,0,1,0,1,0,0,M
668,Ted 2,2015,6.3,1,0,1,0,1,0,M
669,Pain & Gain,2013,6.5,1,1,0,1,0,0,M
670,Blood Diamond,2006,8,0,1,0,0,1,0,M
671,Devil's Knot,2013,6.1,0,1,0,1,0,1,M
672,Child 44,2015,6.5,0,1,0,1,1,0,M
673,The Hurt Locker,2008,7.6,0,1,0,0,1,1,M
674,Green Lantern,2011,5.6,0,1,0,0,1,0,M
675,War on Everyone,2016,5.9,1,0,0,0,1,0,M
676,The Mist,2007,7.2,0,0,0,1,0,0,M
677,Escape Plan,2013,6.7,0,0,0,1,1,0,M
678,"Love, Rosie",2014,7.2,1,0,1,0,0,0,M
679,The DUFF,2015,6.5,1,0,0,0,0,0,M
680,The Age of Shadows,2016,7.2,0,1,0,0,1,0,M
681,The Hunger Games: Mockingjay - Part 1,2014,6.7,0,1,0,0,1,0,M
682,We Need to Talk About Kevin,2011,7.5,0,1,0,1,1,0,M
683,Love & Friendship,2016,6.5,1,1,1,0,0,0,M
684,The Mortal Instruments: City of Bones,2013,5.9,0,1,0,1,1,0,M
685,Seven Pounds,2008,7.7,0,1,1,0,0,0,M
686,The King's Speech,2010,8,0,1,0,0,0,1,M
687,Hunger,2008,7.6,0,1,0,0,0,1,M
688,Jumper,2008,6.1,0,1,0,0,1,0,M
689,Toy Story 3,2010,8.3,1,0,0,0,1,0,M
690,Tinker Tailor Soldier Spy,2011,7.1,0,1,0,1,1,0,M
691,Resident Evil: Retribution,2012,5.4,0,1,0,1,1,0,M
692,Dear Zindagi,2016,7.8,0,1,1,0,0,0,M
693,Genius,2016,6.5,0,1,0,0,0,1,M
694,Pompeii,2014,5.5,0,1,0,0,1,0,M
695,Life of Pi,2012,7.9,0,1,0,0,1,0,M
696,Hachi: A Dog's Tale,2009,8.1,0,1,0,0,0,0,M
697,10 Years,2011,6.1,1,1,1,0,0,0,M
698,I Origins,2014,7.3,0,1,1,0,0,0,M
699,Live Free or Die Hard,2007,7.2,0,0,0,0,1,0,M
700,The Matchbreaker,2016,5.5,1,0,1,0,0,0,M
701,Funny Games,2007,6.5,0,1,0,1,0,0,M
702,Ted,2012,7,1,1,0,0,0,0,M
703,RED,2010,7.1,1,0,0,1,1,0,M
704,Australia,2008,6.6,0,1,1,0,1,0,M
705,Faster,2010,6.5,0,1,0,1,1,0,M
706,The Neighbor,2016,5.8,0,0,0,1,1,0,M
707,The Adjustment Bureau,2011,7.1,0,1,1,0,1,0,M
708,The Hollars,2016,6.5,1,1,1,0,0,0,M
709,The Judge,2014,7.4,0,1,0,1,0,0,M
710,Closed Circuit,2013,6.2,0,1,0,1,0,0,M
711,Transformers: Revenge of the Fallen,2009,6,0,1,0,0,1,0,M
712,La tortue rouge,2016,7.6,1,1,0,0,0,0,M
713,The Book of Life,2014,7.3,1,0,0,0,1,0,M
714,Incendies,2010,8.2,0,1,0,1,0,1,M
715,The Heartbreak Kid,2007,5.8,1,0,1,0,0,0,M
716,Happy Feet,2006,6.5,1,0,0,0,0,0,M
717,Entourage,2015,6.6,1,0,0,0,0,0,M
718,The Strangers,2008,6.2,0,0,0,1,1,0,M
719,Noah,2014,5.8,0,1,0,0,1,0,M
720,Neighbors,2014,6.4,1,0,0,0,0,0,M
721,Nymphomaniac: Vol. II,2013,6.7,0,1,0,0,0,0,M
722,Wild,2014,7.1,0,1,0,0,1,1,M
723,Grown Ups,2010,6,1,0,0,0,0,0,M
724,Blair Witch,2016,5.1,0,0,0,1,1,0,M
725,The Karate Kid,2010,6.2,0,1,0,0,1,0,M
726,Dark Shadows,2012,6.2,1,1,0,1,0,0,M
727,Friends with Benefits,2011,6.6,1,0,1,0,0,0,M
728,The Illusionist,2006,7.6,0,1,1,1,0,0,M
729,The A-Team,2010,6.8,1,0,0,0,1,0,M
730,The Guest,2014,6.7,0,0,0,0,1,0,M
731,The Internship,2013,6.3,1,0,0,0,0,0,M
732,Paul,2011,7,1,1,0,0,1,0,M
733,This Beautiful Fantastic,2016,6.9,1,1,0,0,0,0,M
734,The Da Vinci Code,2006,6.6,0,0,0,1,1,0,M
735,Mr. Church,2016,7.7,1,1,0,0,0,0,M
736,Hugo,2011,7.5,0,1,0,0,1,0,M
737,The Blackcoat's Daughter,2015,5.6,0,0,0,1,1,0,M
738,Body of Lies,2008,7.1,0,1,1,0,1,0,M
739,Knight of Cups,2015,5.7,0,1,1,0,0,0,M
740,The Mummy: Tomb of the Dragon Emperor,2008,5.2,0,1,0,0,1,0,M
741,The Boss,2016,5.4,1,0,0,0,0,0,M
742,Hands of Stone,2016,6.6,0,1,0,0,1,1,M
743,El secreto de sus ojos,2009,8.2,0,1,1,1,0,0,M
744,True Grit,2010,7.6,0,1,0,0,1,0,M
745,We Are Your Friends,2015,6.2,0,1,1,0,0,1,M
746,A Million Ways to Die in the West,2014,6.1,1,0,1,0,1,0,M
747,Only for One Night,2016,4.6,0,0,0,0,1,0,M
748,Rules Don't Apply,2016,5.7,1,1,1,0,0,0,M
749,Ouija: Origin of Evil,2016,6.1,0,0,0,1,1,0,M
750,Percy Jackson: Sea of Monsters,2013,5.9,0,1,0,0,1,0,M
751,Fracture,2007,7.2,0,1,0,1,0,0,M
752,Oculus,2013,6.5,0,0,0,1,0,0,M
753,In Bruges,2008,7.9,1,1,0,1,0,0,M
754,This Means War,2012,6.3,1,0,1,0,1,0,M
755,LÃƒÂ­da BaarovÃƒÂ¡,2016,5,0,1,0,0,0,1,M
756,The Road,2009,7.3,0,1,0,0,1,0,M
757,Lavender,2016,5.2,0,1,0,0,1,0,M
758,Deuces,2016,6.6,0,1,0,0,0,0,M
759,Conan the Barbarian,2011,5.2,0,1,0,0,1,0,M
760,The Fighter,2010,7.8,0,1,0,0,1,1,M
761,August Rush,2007,7.5,0,1,0,0,0,1,M
762,Chef,2014,7.3,1,1,0,0,0,0,M
763,Eye in the Sky,2015,7.3,0,1,0,0,1,1,M
764,Eagle Eye,2008,6.6,0,0,0,1,1,0,M
765,The Purge,2013,5.7,0,1,0,1,1,0,M
766,PK,2014,8.2,1,1,1,0,0,0,M
767,Ender's Game,2013,6.7,0,1,0,0,1,0,M
768,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,0,1,0,0,1,0,M
769,Paper Towns,2015,6.3,0,1,1,1,0,0,M
770,High-Rise,2015,5.7,0,1,0,0,0,0,M
771,Quantum of Solace,2008,6.6,0,0,0,0,1,0,M
772,The Assignment,2016,4.5,0,0,0,1,1,0,M
773,How to Train Your Dragon,2010,8.1,1,0,0,0,1,0,M
774,Lady in the Water,2006,5.6,0,1,0,1,0,0,M
775,The Fountain,2006,7.3,0,1,0,0,0,0,M
776,Cars 2,2011,6.2,1,0,0,0,1,0,M
777,31,2016,5.1,0,0,0,1,1,0,M
778,Final Girl,2015,4.7,0,0,0,0,1,0,M
779,Chalk It Up,2016,4.8,1,0,0,0,0,0,M
780,The Man Who Knew Infinity,2015,7.2,0,1,0,0,0,1,M
781,Unknown,2011,6.9,0,0,0,1,1,0,M
782,Self/less,2015,6.5,0,1,0,1,1,0,M
783,Mr. Brooks,2007,7.3,0,1,0,1,1,0,M
784,Tramps,2016,6.5,1,0,1,0,0,0,M
785,Before We Go,2014,6.9,1,1,1,0,0,0,M
786,Captain Phillips,2013,7.8,0,1,0,0,1,1,M
787,The Secret Scripture,2016,6.8,0,1,0,0,0,0,M
788,Max Steel,2016,4.6,0,0,0,0,1,0,M
789,Hotel Transylvania 2,2015,6.7,1,0,0,0,0,0,M
790,Hancock,2008,6.4,0,1,0,1,1,0,M
791,Sisters,2015,6,1,0,0,0,0,0,M
792,The Family,2013,6.3,1,0,0,1,1,0,M
793,Zack and Miri Make a Porno,2008,6.6,1,0,1,0,0,0,M
794,Ma vie de Courgette,2016,7.8,1,1,0,0,0,0,M
795,Man on a Ledge,2012,6.6,0,0,0,1,1,0,M
796,No Strings Attached,2011,6.2,1,0,1,0,0,0,M
797,Rescue Dawn,2006,7.3,0,1,0,0,1,1,M
798,Despicable Me 2,2013,7.4,1,0,0,0,1,0,M
799,A Walk Among the Tombstones,2014,6.5,0,1,0,1,0,0,M
800,The World's End,2013,7,1,1,0,0,1,0,M
801,Yoga Hosers,2016,4.3,1,1,0,1,0,0,M
802,Seven Psychopaths,2012,7.2,1,0,0,1,0,0,M
803,Beowulf,2007,6.2,1,0,0,0,1,0,M
804,Jack Ryan: Shadow Recruit,2014,6.2,0,1,0,0,1,0,M
805,1408,2007,6.8,0,1,0,1,0,0,M
806,The Gambler,2014,6,0,1,0,1,1,0,M
807,Prince of Persia: The Sands of Time,2010,6.6,0,1,0,0,1,0,M
808,The Spectacular Now,2013,7.1,1,1,1,0,0,0,M
809,A United Kingdom,2016,6.8,0,1,1,0,0,1,M
810,USS Indianapolis: Men of Courage,2016,5.2,0,1,0,0,1,1,M
811,Turbo Kid,2015,6.7,1,0,0,0,1,0,M
812,Mama,2013,6.2,0,0,0,1,1,0,M
813,Orphan,2009,7,0,0,0,1,1,0,M
814,To Rome with Love,2012,6.3,1,0,1,0,0,0,M
815,Fantastic Mr. Fox,2009,7.8,1,0,0,0,1,0,M
816,Inside Man,2006,7.6,0,1,0,1,0,0,M
817,I.T.,2016,5.4,0,1,0,1,0,0,M
818,127 Hours,2010,7.6,0,1,0,0,1,1,M
819,Annabelle,2014,5.4,0,0,0,1,1,0,M
820,Wolves at the Door,2016,4.6,0,0,0,1,1,0,M
821,Suite FranÃƒÂ§aise,2014,6.9,0,1,1,0,0,1,M
822,The Imaginarium of Doctor Parnassus,2009,6.8,0,1,0,1,1,0,M
823,G.I. Joe: The Rise of Cobra,2009,5.8,0,1,0,0,1,0,M
824,Christine,2016,7,0,1,0,0,0,1,M
825,Man Down,2015,5.8,0,1,0,0,1,0,M
826,Crawlspace,2016,5.3,0,0,0,1,1,0,M
827,Shut In,2016,4.6,0,1,0,1,1,0,M
828,The Warriors Gate,2016,5.3,0,1,0,0,1,0,M
829,Grindhouse,2007,7.6,0,0,0,1,1,0,M
830,Disaster Movie,2008,1.9,1,0,0,0,0,0,M
831,Rocky Balboa,2006,7.2,0,1,0,0,0,1,M
832,Diary of a Wimpy Kid: Dog Days,2012,6.4,1,0,0,0,0,0,M
833,Jane Eyre,2011,7.4,0,1,1,0,0,0,M
834,Fool's Gold,2008,5.7,1,0,0,0,1,0,M
835,The Dictator,2012,6.4,1,0,0,0,0,0,M
836,The Loft,2014,6.3,0,0,1,1,1,0,M
837,Bacalaureat,2016,7.5,0,1,0,1,0,0,M
838,You Don't Mess with the Zohan,2008,5.5,1,0,0,0,1,0,M
839,Exposed,2016,4.2,0,1,0,1,0,0,M
840,Maudie,2016,7.8,0,1,1,0,0,1,M
841,Horrible Bosses 2,2014,6.3,1,0,0,1,0,0,M
842,A Bigger Splash,2015,6.4,0,1,0,0,1,0,M
843,Melancholia,2011,7.1,0,1,0,0,0,0,M
844,The Princess and the Frog,2009,7.1,1,0,0,0,1,0,M
845,Unstoppable,2010,6.8,0,0,0,0,1,0,M
846,Flight,2012,7.3,0,1,0,0,1,0,M
847,Home,2015,6.7,1,0,0,0,1,0,M
848,La migliore offerta,2013,7.8,0,1,0,1,0,0,M
849,Mean Dreams,2016,6.3,0,0,0,0,1,0,M
850,42,2013,7.5,0,1,0,0,0,1,M
851,21,2008,6.8,0,1,0,1,1,0,M
852,Begin Again,2013,7.4,0,1,0,0,0,1,M
853,Out of the Furnace,2013,6.8,0,1,0,1,1,0,M
854,Vicky Cristina Barcelona,2008,7.1,0,1,1,0,0,0,M
855,Kung Fu Panda,2008,7.6,1,0,0,0,1,0,M
856,Barbershop: The Next Cut,2016,5.9,1,1,0,0,0,0,M
857,Terminator Salvation,2009,6.6,0,1,0,0,1,0,M
858,Freedom Writers,2007,7.5,0,1,0,1,0,1,M
859,The Hills Have Eyes,2006,6.4,0,0,0,1,0,0,M
860,Changeling,2008,7.8,0,1,0,1,0,1,M
861,Remember Me,2010,7.2,0,1,1,0,0,0,M
862,Koe no katachi,2016,8.4,1,1,1,0,0,0,M
863,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,1,0,0,0,0,0,M
864,Locke,2013,7.1,0,1,0,0,0,0,M
865,The 9th Life of Louis Drax,2016,6.3,0,0,0,1,1,0,M
866,Horns,2013,6.5,0,1,0,1,0,0,M
867,Indignation,2016,6.9,0,1,1,0,0,0,M
868,The Stanford Prison Experiment,2015,6.9,0,1,0,0,0,1,M
869,Diary of a Wimpy Kid: Rodrick Rules,2011,6.6,1,0,0,0,0,0,M
870,Mission: Impossible III,2006,6.9,0,0,0,0,1,0,M
871,En man som heter Ove,2015,7.7,1,1,0,0,0,0,M
872,Dragonball Evolution,2009,2.7,0,1,0,0,1,0,M
873,Red Dawn,2012,5.4,0,0,0,0,1,0,M
874,One Day,2011,7,0,1,1,0,0,0,M
875,Life as We Know It,2010,6.6,1,1,1,0,0,0,M
876,28 Weeks Later,2007,7,0,1,0,1,0,0,M
877,Warm Bodies,2013,6.9,1,0,1,1,0,0,M
878,Blue Jasmine,2013,7.3,0,1,0,0,0,0,M
879,G.I. Joe: Retaliation,2013,5.8,0,1,0,0,1,0,M
880,Wrath of the Titans,2012,5.8,0,1,0,0,1,0,M
881,Shin Gojira,2016,6.9,0,1,0,0,1,0,M
882,Saving Mr. Banks,2013,7.5,1,1,0,0,0,1,M
883,Transcendence,2014,6.3,0,1,1,1,0,0,M
884,Rio,2011,6.9,1,0,0,0,1,0,M
885,Equals,2015,6.1,0,1,1,0,0,0,M
886,Babel,2006,7.5,0,1,0,0,0,0,M
887,The Tree of Life,2011,6.8,0,1,0,0,0,0,M
888,The Lucky One,2012,6.5,0,1,1,0,0,0,M
889,Piranha 3D,2010,5.5,1,0,0,1,1,0,M
890,50/50,2011,7.7,1,1,1,0,0,0,M
891,The Intent,2016,3.5,0,1,0,1,0,0,M
892,This Is 40,2012,6.2,1,0,1,0,0,0,M
893,Real Steel,2011,7.1,0,1,0,0,1,0,M
894,Sex and the City,2008,5.5,1,1,1,0,0,0,M
895,Rambo,2008,7.1,0,0,0,0,1,1,M
896,Planet Terror,2007,7.1,1,0,0,1,1,0,M
897,Concussion,2015,7.1,0,1,0,0,0,1,M
898,The Fall,2006,7.9,1,1,0,0,1,0,M
